title,authors,abstract,paper_url,github_url,github_stars,published_date,source,_normalized_at
Beyond the Leaderboard: Design Lessons for Trustworthy Multimodal VQA,"['Sushant Gautam', 'Vajira Thambawita', 'Michael A. Riegler', 'Pål Halvorsen', 'Steven A. Hicks']","Healthcare multimodal AI must combine visual and textual evidence while remaining reliable and interpretable. Using MediaEval Medico 2025 as a retrospective GI endoscopy case study, we analyze design choices across nine documented systems for question answering and explanation quality. Parameter-efficient adaptation of pretrained backbones provides strong challenge performance, but answer-level gains do not consistently translate into faithful and complete clinical reasoning. Methods enforcing s",http://arxiv.org/abs/2607.15241v1,,0,2026-07-16T17:38:19+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
CRISP: Constrained Refinement via Iterative Squeezing Process for Robust Medical Image Segmentation under Domain Shift,"['Yizhou Fang', 'Pujin Cheng', 'Yixiang Liu', 'Xiaoying Tang', 'Longxi Zhou']","Distribution shift in medical imaging remains a central bottleneck for the clinical translation of medical AI. Failure to address it can lead to severe performance degradation in unseen environments and exacerbate health inequities. Existing methods for domain adaptation are inherently limited by exhausting predefined possibilities through simulated shifts or pseudo-supervision. Such strategies struggle in the open-ended and unpredictable real world, where distribution shifts are effectively inf",http://arxiv.org/abs/2607.15231v1,,0,2026-07-16T17:32:26+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Can We Trust Item Response Theory for AI Evaluation?,"['Han Jiang', 'Sunbeom Kwon', 'Jinwen Luo', 'Ziang Xiao', 'Susu Zhang']","AI benchmarks increasingly leverage item-level statistical models, particularly item response theory (IRT), to estimate model capabilities, rank systems, select informative examples, and diagnose benchmark quality. However, AI benchmark data often departs from the data regime of human testing, for which standard IRT estimation tools were originally developed: benchmarks typically involve fewer evaluated models, far more items, and capability distributions that may be skewed, clustered, or multim",http://arxiv.org/abs/2607.15190v1,,0,2026-07-16T16:44:40+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Benchmarking Multimodal Large Language Models for Scientific Visualization Literacy,"['Patrick Phuoc Do', 'Chau M. Ta', 'Chaoli Wang']","Multimodal large language models (MLLMs) are increasingly used to interpret visualizations, yet current evaluations remain largely chart-centric and provide limited evidence of understanding of scientific visualization (SciVis). We benchmark six MLLMs on the scientific visualization literacy assessment test, a standardized SciVis literacy assessment comprising 49 items based on 18 scientific visualizations and illustrations, spanning 8 techniques and 11 task types. We evaluate three closed-sourc",http://arxiv.org/abs/2607.15176v1,,0,2026-07-16T16:29:34+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
MedFailBench: A Clinician-Built Open-Source Benchmark for Medical AI Safety Boundary Inspection,['Goktug Ozkan'],"Most medical AI benchmarks measure whether a model knows the correct answer. MedFailBench asks a different question: which safety boundary failed? We present a clinician-built synthetic benchmark and failure atlas that labels medical AI errors by severity (1--5) and safety gate type (missed urgent escalation, unsafe remote dosing, unsafe discharge reassurance, evidence fabrication, unsafe protocol execution, source support gap). The current public release (v0.2.1) contains 44 clinician-reviewed ",http://arxiv.org/abs/2607.15166v1,,0,2026-07-16T16:16:07+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
The Industrialization of Research ; On AI-Driven Science and Its Consequences,['Emmanuel Jeannot'],"Artificial intelligence is transforming scientific research -- not merely as a more powerful instrument, but as an autonomous participant in the research cycle itself. This transition constitutes, in the most precise sense of the term, the industrialization of research: a shift from a craft model, in which knowledge, method, and judgment are embedded in the researcher, to a pipeline model, in which these steps are decomposed, automated, and supervised. The US Department of Energy's Genesis Missi",http://arxiv.org/abs/2607.15164v1,,0,2026-07-16T16:14:12+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
On-Policy Delta Distillation,"['Byeongho Heo', 'Jaehui Hwang', 'Sangdoo Yun', 'Dongyoon Han']","On-policy distillation is an alternative post-training method in reinforcement learning that alleviates the constraints imposed by reward models by providing token-level supervision from a teacher model. Although on-policy distillation has been studied and applied across various settings, its fundamental design remains underexplored. In this paper, we introduce a new distillation reward, termed the delta signal, instead of directly imitating the teacher's output distribution. The delta signal is",http://arxiv.org/abs/2607.15161v1,,0,2026-07-16T16:07:19+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
"Setup Complete, Now You Are Compromised: Weaponizing Setup Instructions Against AI Coding Agents","['Aadesh Bagmar', 'Pushkar Saraf']","AI coding agents set up projects by reading documentation and installing the dependencies it lists, without verifying their names, sources, or known vulnerabilities. By editing only a README, requirements file, or Makefile, an attacker can redirect the agent to an untrusted registry, a known-vulnerable version, or a wrong-but-plausible name: documentation becomes a vector for code execution. We present the first systematic evaluation of package-install-time supply-chain attacks delivered through",http://arxiv.org/abs/2607.15143v1,,0,2026-07-16T15:47:19+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
"Platform Choice, Trust, and Privacy in the Consumer AI Assistant Market",['Jennifer Zou'],"We study how a representative sample of United States adult AI-assistant users (n=1,999; June 2026) choose among platforms, allocate tasks across them, evaluate provider trustworthiness, and value data-handling features. Estimates are weighted to the AI-user population using external adoption benchmarks. Four patterns emerge. The market is concentrated but internally differentiated: ChatGPT is the primary assistant for 58% of users and Gemini for 25%, yet smaller platforms hold defensible task n",http://arxiv.org/abs/2607.15134v1,,0,2026-07-16T15:41:54+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
On-board AI-based Channel Estimation for LEO NTNs,"['Mahdi Abdollahpour', 'Bruno De Filippo', 'Carla Amatetti', 'Alessandro Vanelli-Coralli']","Artificial Intelligence(AI) methods have shown strong channel estimation performance in terrestrial networks, but they typically rely on substantial computational resources. As 6G moves toward a unified architecture that will include Non-Terrestrial Networks (NTN) from day 0, availability of large and power hungry computational resources shall not be taken for granted. At the same time, NTN propagation often exhibits high predictability, limited multipath richness and significant Doppler shifts,",http://arxiv.org/abs/2607.15127v1,,0,2026-07-16T15:37:07+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
"Don't Predict, Prioritize: Rethinking GPU Reliability Assessment","['Difeng Ma', 'Changhua Pei', 'Yuanwei Lu', 'Quan Zhou', 'Zexin Wang', 'Yibo Zhu', 'Daxin Jiang', 'Dan Pei', 'Jingjing Li', 'Gaogang Xie']","The reliability of Graphics Processing Units (GPUs) is a criticalbottleneck for modern large-scale AI infrastructure, where a sin-gle node failure can disrupt synchronous training jobs and causesignificant financial losses. While predictive maintenance is widelyused in other hardware domains, we demonstrate that accuratelypredicting the exact timing of GPU failures is inherently difficult.Through an in-depth analysis of telemetry data from a productioncluster, we find that major GPU failures, in",http://arxiv.org/abs/2607.15115v1,,0,2026-07-16T15:24:47+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
